aah, aah aha
aelrstu, estrual saluter
emrstu, estrum muster
emrsstu, estrums musters
ersstu, estrus russet surest tusser
eeinrstu, esurient retinues reunites
aeimnt, etamin inmate tamein
aeeimnt, etamine matinee
aeeimnst, etamines matinees
aeimnst, etamins inmates tameins
aeepst, etapes peseta
aeimsstt, etatisms misstate
aeissttt, etatists tastiest
cdeeht, etched teched
ceehrst, etchers retches
aeelnrst, eternals telerans
eeeinrst, eternise teensier
deeeinrst, eternised teredines
deeeinrtz, eternized tenderize
eht, eth het the
eehrt, ether there three
eehrst, ethers theres threes
cehist, ethics itches
ehinost, ethions histone
cehinst, ethnics sthenic
ehnost, ethnos honest
eeghiloost, ethologies theologies
eghlooty, ethology theology
ehost, ethos shote those
ehst, eths hest
cehilty, ethylic lecythi techily
ehlsty, ethyls shelty
eistu, etuis suite
aemty, etyma matey meaty
eegilosu, eulogies eulogise
cehiopru, euphoric pouchier
eoru, euro roue
eorsu, euros roues rouse
adeerv, evader reaved
aehinsv, evanish vahines
aeehinssv, evanishes heaviness
eev, eve vee
eenv, even neve
deeenv, evened vendee
eeenrv, evener veneer
eeenrsv, eveners veneers
eensv, evens neves seven
eerv, ever veer
eertv, evert revet
eeorrstv, evertors restrove
eerstv, everts revest revets verset verste
eervy, every veery
eesv, eves vees
ceiorstv, evictors vortices
eilv, evil live veil vile
deeilorv, evildoer overidle
eeilrv, eviler levier liever relive revile veiler
eeilstv, evilest lievest velites
eillvy, evilly lively vilely
eeilnssv, evilness liveness veinless vileness
eeeilnsssv, evilnesses livenesses vilenesses
eilsv, evils lives veils
aceoortv, evocator overcoat
aceoorstv, evocators overcoats
eekorv, evoker revoke
eekorsv, evokers revokes
eelotuv, evolute veloute
eelostuv, evolutes veloutes
eelorvv, evolver revolve
eelorsvv, evolvers revolves
eew, ewe wee
eerw, ewer weer were
eersw, ewers resew sewer sweer
eesw, ewes wees
aceertx, exacter excreta
aceensstx, exactness exsecants
aeltx, exalt latex
aelstx, exalts laxest
aeelmpx, example exempla
ceeptx, except expect
cdeeeptx, excepted expected
ceeginptx, excepting expecting
ceepstx, excepts expects
cdeeisx, excides excised
aceiinottx, excitation intoxicate
aceiinosttx, excitations intoxicates
ceiortx, excitor xerotic
ceiorstx, excitors exorcist
eerstx, exerts exsert
eeilsx, exiles ilexes
eistx, exist exits sixte
eisstx, exists sexist sixtes
deeeiprstx, expediters preexisted
eeiprsx, expires prexies
deeloprx, exploder explored
eeoprrtx, exporter reexport
eeoprrstx, exporters reexports
eopsx, expos poxes
eelpssux, expulses plexuses
aertx, extra taxer
aerstx, extras taxers
deeilsy, eyelids seedily
eeny, eyen eyne
eersy, eyers eyres
eeopsty, eyespot peyotes
aersy, eyras resay sayer years
acefr, facer farce
acefrs, facers farces
aacfils, facials fascial
aacfis, facias fascia
acdefin, faciend fancied
acefil, facile fecial
acefrtu, facture furcate
acefrstu, factures furcates
aacflu, facula faucal
adefr, fader fared
aeefir, faerie feriae
aeefirs, faeries freesia
aceefin, faience fiancee
aceefins, faiences fiancees
afin, fain naif
aefinr, fainer infare
afir, fair fiar
aefinrss, fairness sanserif
afirs, fairs fiars
aefhilsst, faithless flashiest
aefkr, faker freak
aefkrs, fakers freaks
aefkry, fakery freaky
afikr, fakir kafir
afikrs, fakirs kafirs
acflno, falcon flacon
acflnos, falcons flacons
aefllr, faller refall
aefllrs, fallers refalls
afllotu, fallout outfall
afllostu, fallouts outfalls
aeflrs, falser farles flares
aeflsst, falsest fatless
aabflott, faltboat flatboat
aabflostt, faltboats flatboats
adeeflrt, faltered reflated
aefgilnrt, faltering reflating
aeeflmss, fameless selfsame
acefins, fancies fascine fiances
aadefirs, faradise safaried
acefrrsu, farceurs surfacer
acefir, farcie fiacre
acefirs, farcies fiacres
adeflr, fardel flared
aefr, fare fear frae
aefrs, fares fears safer
aefflr, farfel raffle
aefflrs, farfels raffles
aeflr, farle feral flare
aabeflmr, farmable framable
adefmr, farmed framed
aefmrr, farmer framer
aefmrrs, farmers framers
afgimnr, farming framing
afor, faro fora
afors, faros sofar
afrt, fart frat raft
afginrt, farting ingraft rafting
afrst, farts frats rafts
aefhss, fashes sheafs
afst, fast fats
aabcfkst, fastback fatbacks
aeefnrst, fastener fenestra refasten
aeefnrsst, fasteners refastens
aefnsst, fastens fatness
aeft, fate feat feta
aefst, fates feast feats fetas
aefhrt, father hafter trefah
aefhrst, fathers hafters
afost, fatso softa
aefosst, fatsoes fossate
afosst, fatsos softas
aefilrtu, faultier filature
aflstu, faults flatus
afnsu, fauns snafu
aeforrv, favorer overfar
aeefilst, fealties fetiales leafiest
aeflty, fealty featly
aefflstu, feastful sufflate
aefsst, feasts safest
aeefhrt, feather terefah
cefkly, feckly flecky
deeefr, feeder reefed refeed
deeefrs, feeders refeeds
deefgin, feeding feigned
eefl, feel flee
eefgiln, feeling fleeing
eefls, feels flees
eeft, feet fete
eefginr, feigner freeing reefing
efinst, feints finest infest
eefiirst, feistier ferities fieriest
eefiisstt, feistiest testifies
defil, felid field filed flied
defils, felids fields
efiilnty, felinity finitely
eefllr, feller refell
eefilnos, felonies olefines
eefilst, felsite lefties liefest
eflt, felt left
eflst, felts lefts
aefmor, femora foamer
efmru, femur fumer
efmrsu, femurs fumers
adefory, feodary forayed
efr, fer ref
eefr, fere free reef
eefrs, feres frees reefs
aefirs, ferias fraise
eefinr, ferine refine
eefilr, ferlie liefer refile relief
eefilrs, ferlies refiles reflies reliefs
eflry, ferly flyer refly
eefinrr, fernier refiner
eefinrst, ferniest infester
eeflnrss, fernless flensers fresnels
deefirr, ferried refired refried
eefirrs, ferries refires refries
cefiirrt, ferritic terrific
eforrsu, ferrous furores
efrry, ferry fryer refry
efginrry, ferrying refrying
eeflru, ferule fueler refuel
eeflrsu, ferules fuelers refuels
eefrst, fester freest
aefiilst, fetialis filiates
efort, fetor forte ofter
eforst, fetors forest fortes foster softer
eeflstt, fettles leftest
defsu, feuds fused
efsu, feus fuse
eefry, feyer reefy
cefiklr, fickler flicker
defgit, fidget gifted
effi, fief fife
effis, fiefs fifes
defin, fiend fined
defhiins, fiendish finished
eefiirr, fierier reifier
efiry, fiery reify
aefisst, fiestas fissate
effiist, fifties iffiest
efghirt, fighter freight refight
efghirst, fighters freights refights
aefgirtu, figurate fruitage
afilr, filar flair frail
aeefilr, filaree leafier
efil, file lief life
efilr, filer flier lifer rifle
efilrs, filers fliers lifers rifles
efils, files flies
efilt, filet flite
efilst, filets fliest flites itself stifle
efillr, filler refill
efillrs, fillers refills
efilmst, filmset leftism
efilmsst, filmsets leftisms
efilrt, filter lifter trifle
eefilrrt, filterer refilter
eefilrrst, filterers refilters
efilrst, filters lifters stifler trifles
afiilnortt, filtration flirtation
afiilnorstt, filtrations flirtations
aefgiln, finagle leafing
afiilns, finalis finials
definr, finder friend redfin refind
definrs, finders friends redfins refinds
efin, fine neif
efinr, finer infer
efins, fines neifs
efginr, finger fringe
efginrs, fingers fringes
efgiinprst, fingertips presifting
efhiinrs, finisher refinish
defikn, finked knifed
fgiiknn, finking knifing
efir, fire reif rife
defir, fired fried
cefiklor, firelock flockier
efirr, firer frier rifer
efirrs, firers friers
efirs, fires fries frise reifs serif
first, first frits rifts
fhirt, firth frith
fhirst, firths friths shrift
efhirs, fisher sherif
efhirss, fishers serfish sherifs
efirssu, fissure fussier
fist, fist fits sift
defist, fisted sifted
fgiinst, fisting sifting
fisst, fists sifts
efinsst, fitness infests
efirx, fixer refix
efirszz, fizzers frizzes
afilrs, flairs frails
aeflm, flame fleam
adeflm, flamed malfed
aeflms, flames fleams
aefilmns, flamines inflames
aeflnru, flaneur frenula funeral
aeflnrsu, flaneurs funerals
afilnort, flatiron inflator
afilnorst, flatirons inflators
aeflsstu, flatuses sulfates
aefilstw, flatwise flawiest
ceefhl, fleche fleech
eeflr, fleer refel
eeflrs, fleers refels
efhilms, flemish himself
eeflnrs, flenser fresnel
efhls, flesh shelf
eefhlrs, flesher herself
eefhillrs, fleshlier hellfires
eeflrsux, flexures refluxes
efiilmss, flimsies misfiles
defilrt, flirted trifled
efilrrt, flirter trifler
efilrrst, flirters triflers
fgiilnrt, flirting trifling
filt, flit lift
defilt, flited lifted
fgiilnt, fliting lifting
filst, flits lifts
aeflort, floater refloat
aeflorst, floaters forestal refloats
aflost, floats flotas
fglo, flog golf
fglos, flogs golfs
defloor, flooder floored reflood
defloors, flooders refloods
aeflor, florae loafer
aflors, floras safrol
eflort, floret lofter
eflorst, florets lofters
deflnoru, flounder unfolder
deflnorsu, flounders unfolders
floru, flour fluor
florsu, flours fluors
flow, flow fowl wolf
deflow, flowed fowled wolfed
eflorw, flower fowler reflow wolfer
eeflorrw, flowerer reflower
eeflorrsw, flowerers reflowers
efgilnorw, flowering reflowing
eflorsw, flowers fowlers reflows wolfers
fgilnow, flowing fowling wolfing
flosw, flows fowls wolfs
eflu, flue fuel
eflntu, fluent unfelt
cefilru, flueric lucifer
cefilrsu, fluerics lucifers
eflsu, flues fuels fusel
dfilsu, fluids sulfid
fghilnsu, flushing lungfish
eflrstu, fluster fluters restful
eflrsstu, flusters turfless
fltuy, fluty fluyt
eflorvy, flyover overfly
eflty, flyte lefty
aflo, foal loaf
adeflo, foaled loafed
afgilno, foaling loafing
aflos, foals loafs
ceforsu, focuser refocus
cefossu, focuses fucoses
ddefor, fodder forded
defglo, fodgel golfed
aeflot, foetal folate
efoort, foetor footer
efoorst, foetors footers
fino, foin info
finos, foins infos
deflor, folder refold
deflors, folders refolds
dfnou, fondu found
dfnosu, fondus founds
floo, fool loof
floos, fools loofs
for, for fro
aefmnor, foramen foreman
befory, forbye foreby
cefors, forces fresco
efor, fore froe
defoor, foredo roofed
deeffnor, forefend offender
deeffnors, forefends offenders
eeffginorr, forefinger reoffering
aefmorst, foremast formates
efors, fores froes
eeforrst, forester fosterer reforest
eeforrsst, foresters fosterers reforests
efginorst, foresting fostering
eforsst, forests fosters
ffklorsu, forkfuls forksful
fmor, form from
afilmnor, formalin informal
efmorr, former reform
efmorrs, formers reforms
aeflmoru, formulae fumarole
acdefinort, fornicated fractioned
acfgiinnort, fornicating fractioning
fhort, forth froth
efhiorstt, fortieths frothiest
forst, forts frost
adforrw, forward froward
afoss, fossa sofas
eflnossu, foulness sulfones
flosu, fouls sulfo
defnoru, founder refound
ddeefnoru, foundered refounded
defginnoru, foundering refounding
defnorsu, founders refounds
dfgilnnou, foundling unfolding
acfinrt, frantic infarct infract
aefrrt, frater rafter
aefrrst, fraters rafters strafer
eefrr, freer frere refer
eefrrs, freers freres refers
efgghiinrt, freighting refighting
ceefinrt, frenetic infecter reinfect
ceefinrst, frenetics infecters reinfects
eefhrrs, fresher refresh
eefhrsst, freshest freshets
eefhrst, freshet hefters
efrt, fret reft tref
efflrtu, fretful truffle
aefrstw, fretsaw wafters
aefiirrs, friaries rarifies
afirry, friary rarify
defgiinnr, friending infringed refinding
deefiilnrs, friendlies infielders
efgiinrr, fringier refiring
efgiinrst, fringiest resifting
fginry, fringy frying
efirss, frises serifs
efirrsu, friseur surfier
firt, frit rift
efnorrt, fronter refront
efiorrst, frostier rotifers
cdefnoru, frounced unforced
efirrtu, fruiter turfier
efirrstu, fruiters furriest
eefimnrstu, frumenties furmenties
efmnrtuy, frumenty furmenty
eflrstuu, frustule sulfuret
eflrsstuu, frustules sulfurets
defglu, fugled gulfed
fggilnu, fugling gulfing
defilmnu, fulmined unfilmed
affinru, funfair ruffian
affinrsu, funfairs ruffians
frsu, furs surf
efirstu, fustier surfeit
abbeglr, gabbler grabble
abbeglrs, gabblers grabbles
abeegll, gabelle gelable
addegr, gadder graded
addgi, gaddi gadid
addgis, gaddis gadids
adeggt, gadget tagged
adeggst, gadgets stagged
aegn, gaen gane
aeggrst, gagster gargets stagger taggers
aeggrsst, gagsters staggers
aeghint, gahnite heating
aegilnss, gainless glassine leasings
agilny, gainly laying
aginst, gainst giants sating
agl, gal lag
aeegilnt, galenite gelatine legatine
aeegilnst, galenites gelatines teaseling
aeeglr, galere regale
aeeglrs, galeres regales
aeegills, galilees legalise
agilot, galiot latigo
agilost, galiots latigos
aaegllt, gallate galleta tallage
aaegllst, gallates galletas tallages
aggilln, galling gingall
agllntu, gallnut nutgall
agllnstu, gallnuts nutgalls
aegllssu, galluses sullages
aeglor, galore gaoler
aeglors, galores gaolers
agls, gals lags slag
agm, gam mag
abeglmr, gambler gambrel
abeglmrs, gamblers gambrels
aegm, game mage
aeglmy, gamely gleamy
aegmr, gamer marge regma
aegms, games mages
aeegmt, gamete metage
aeegmst, gametes metages
acgim, gamic magic
aegimr, gamier maigre mirage
aegimst, gamiest sigmate
aagmm, gamma magma
aagmms, gammas magmas
aegmmr, gammer gramme
aegmmrs, gammers grammes
agms, gams mags
agn, gan nag
aegnv, ganev vegan
aegnsv, ganevs vegans
adeggn, ganged nagged
aeggnr, ganger grange nagger
aeggnrs, gangers granges naggers
aggginn, ganging nagging
aeggilnr, ganglier lagering regaling
aegilnnt, gantline latening
adeegmny, ganymede megadyne
adeegmnsy, ganymedes megadynes
aglo, gaol goal
adeglo, gaoled goaled
aggilno, gaoling goaling
aglos, gaols goals
aegp, gape page peag
adegp, gaped paged
aegpr, gaper grape parge
aegprs, gapers gasper grapes parges sparge
aegps, gapes pages peags
agginp, gaping paging
agps, gaps gasp
agr, gar rag
adeegnrr, gardener garnered
aeggrt, garget tagger
aegglr, gargle lagger raggle
aegglrs, gargles laggers raggles
aegmnrt, garment margent
adeegmnrt, garmented margented
aeggimnnrt, garmenting margenting
aegmnrst, garments margents
aegnrr, garner ranger
aegnrrs, garners rangers
aghinrs, garnish sharing
aegort, garote orgeat
aegorst, garotes orgeats storage
aegorrtt, garotter garrotte
aegorrstt, garotters garrottes
adegrr, garred grader regard
aegrrt, garret garter grater
aegrrst, garrets garters graters
aginorrs, garrison roarings
agrs, gars rags
adeegrrt, gartered regrated
aegginrrt, gartering regrating
ags, gas sag
aegss, gases sages
aghs, gash hags shag
aeghrs, gasher gerahs
aeglsss, gasless glasses
aegmns, gasmen manges
aegilors, gasolier girasole seraglio
aegilorss, gasoliers girasoles seraglios
aegprss, gaspers sparges
aegrss, gasser sarges
aegrsss, gassers grasses
agst, gast gats stag tags
adegst, gasted staged
agginst, gasting staging
aaegrst, gastrea teargas
aginrst, gastrin gratins ratings staring
agsst, gasts stags
agt, gat tag
aaegmnt, gateman magenta magnate
aegopstt, gatepost pottages
aegst, gates stage
aaegtwy, gateway getaway
aaegstwy, gateways getaways
aeeghrrt, gatherer regather
aeeghrrst, gatherers regathers
aeffgrsu, gauffers suffrage
agmsu, gaums magus sagum
agnu, gaun guan
aeginrstu, gauntries signature
agru, gaur guar ruga
aegry, gayer yager
aegsty, gayest stagey
agsy, gays sagy
aegrz, gazer graze
aegrsz, gazers grazes
aegginrs, gearings greasing snaggier
egl, gel leg
aeglnt, gelant tangle
aeglnst, gelants tangles
adeeglt, gelated legated
aeggilnt, gelating legating
aegilnst, gelatins genitals stealing
aegilnot, gelation legation
aegilnost, gelations legations
degl, geld gled
deeglr, gelder ledger redleg
deeglrs, gelders ledgers redlegs
deggiln, gelding niggled
deggilns, geldings sledging sniggled
degls, gelds gleds
degil, gelid glide
egls, gels legs
aeegilms, gelsemia mileages
aeegmmt, gemmate tagmeme
aeegmmst, gemmates tagmemes
eegimmr, gemmier gremmie immerge
aeeegnrt, generate teenager
adeeegnrt, generated greatened
aeeegnrst, generates teenagers
aeegginnrt, generating greatening
eeginss, genesis seeings
eegnst, genets gentes
aegiln, genial linage
eegins, genies seeing
egmno, genom gnome
egmnos, genoms gnomes
eegnr, genre green
eegnrs, genres greens
egnor, genro goner negro
egnors, genros goners
egilnt, gentil tingle
eegilnst, gentiles sleeting steeling
ceeginrst, gentrices resecting secreting
eeginrst, gentries integers reesting steering
eeginnu, genuine ingenue
egnsu, genus negus
eegnssu, genuses neguses
aegilnor, geraniol regional
aegilnors, geraniols regionals
aegimnrsu, geraniums measuring
eegnrt, gerent regent
eegnrst, gerents regents
aegimnr, germina mangier reaming
aegilmnr, germinal maligner malinger
aeegimnrst, germinates steamering
degnru, gerund nudger
degnrsu, gerunds nudgers
egoss, gesso segos
egst, gest gets tegs
aegopst, gestapo postage potages
aegopsst, gestapos postages
egt, get teg
aghst, ghast ghats
aeghilrst, ghastlier litharges thirlages
ghis, ghis sigh
eghilorst, ghostlier regoliths
ghlou, ghoul lough
ghlosu, ghouls loughs slough
bbginos, gibbons sobbing
ddegil, gilded glided
degilr, gilder girdle glider regild ridgel
degilrs, gilders girdles gliders regilds ridgels
dggiiln, gilding gliding
egillr, giller grille
egillrs, gillers grilles
egillnt, gillnet telling
egilm, gimel glime
egilms, gimels glimes
gimpy, gimpy pigmy
egginr, ginger nigger
deegginr, gingered renigged
egggiinnr, gingering renigging
egginrs, gingers niggers serging snigger
egginry, gingery greying
ggikno, gingko ginkgo
eggiknos, gingkoes ginkgoes
gikn, gink king
gikns, ginks kings
egiinnr, ginnier reining
gins, gins sign sing
gip, gip pig
ginop, gipon oping pingo
ginops, gipons pingos posing
egippr, gipper grippe
egipprs, gippers grippes
gips, gips pigs
agilors, girasol glorias
dgir, gird grid
ddegir, girded grided ridged
dggiinr, girding griding ridging
ddegilr, girdled griddle
dggiilnr, girdling ridgling
dgirs, girds grids
ginr, girn grin ring
ggiinnr, girning ringing
ginrs, girns grins rings
ginor, giron groin
ginors, girons grison groins rosing signor
eghirss, girshes sighers
girt, girt grit trig
ghirt, girth grith right
deghirt, girthed righted
gghiinrt, girthing righting
ghirst, girths griths rights
girst, girts grist grits trigs
aegimrs, gisarme mirages
eginrtt, gittern retting
acegilr, glacier gracile
acegilrs, glaciers graciles
adegilr, gladier glaired
adegillr, gladlier grillade
aegiklt, glaiket taglike
aegilv, glaive vagile
adegllnu, glandule ungalled
aglns, glans slang
aglry, glary gyral
aglss, glass slags
aegilss, glassie ligases silages
deegl, glede gleed ledge
deegls, gledes gleeds ledges sledge
aeeglmn, gleeman melange
eegls, glees leges
bbegilr, glibber gribble
degilm, glimed midleg
egilmps, glimpse megilps
degilnt, glinted tingled
ggiilnnt, glinting tingling
egilnst, glisten singlet tingles
egilnsst, glistens singlets
egilrst, glister gristle
egilrsst, glisters gristles
aeglort, gloater legator
aeglorst, gloaters legators
bgilno, globin goblin
bgilnos, globins goblins
aeglmor, glomera gomeral
glmosu, glomus moguls
egilmoor, gloomier oligomer
egilmnooss, gloominess neologisms
degilor, gloried godlier
gloss, gloss slogs
degloss, glossed godless
eglorss, glosser regloss
agilnoss, glossina lassoing
ggilnoss, glossing goslings
eglorv, glover grovel
eglorsv, glovers grovels
eglorw, glower reglow
deeglorw, glowered reglowed
eggilnorw, glowering reglowing
eglorsw, glowers reglows
eglu, glue luge
eglru, gluer gruel
eglrsu, gluers gruels
eglsu, glues gules luges
egilru, gluier ligure reguli uglier
egilstu, gluiest ugliest
gilluy, gluily uglily
deglttu, glutted guttled
ggilnttu, glutting guttling
agnr, gnar rang
aegilnrst, gnarliest integrals triangles
adegnrr, gnarred grander
aghns, gnash hangs sangh
agghinns, gnashing hangings
agnt, gnat tang
aeginrtt, gnattier treating
agnsw, gnaws swang
eginss, gneiss singes
cgimnnoo, gnomonic oncoming
egnoss, gnoses segnos
gnu, gnu gun
gnsu, gnus guns snug sung
aegilos, goalies soilage
agos, goas sago
agot, goat toga
agost, goats togas
dggilno, godling lodging
dggilnos, godlings lodgings
egors, goers gores gorse ogres
egglot, goglet toggle
egglost, goglets loggets toggles
egiort, goiter goitre
egiorst, goiters goitres goriest
deglno, golden longed
deglor, golder lodger
ggno, gong nogg
ggginno, gonging nogging
ggnos, gongs noggs
egnooy, gooney oogeny
eginoos, goonies isogone
eggor, gorge grego
eggors, gorges gregos
gginor, goring gringo
egorss, gorses ogress
egiorsst, gorsiest strigose
gorsy, gorsy gyros
gory, gory gyro orgy
ghos, gosh hogs shog
got, got tog
gostu, gouts gusto
gotuy, gouty guyot
agnow, gowan wagon
adegnow, gowaned wagoned
agnosw, gowans wagons
adegr, grade raged
adegrrs, graders regards
adeginrt, gradient redating treading
adgginr, grading niggard
adgrsu, gradus guards
aefgrrt, grafter regraft
aefgrrst, grafters regrafts
aegiinrst, grainiest seriating
aginrs, grains rasing
aginry, grainy raying
aaegimrrs, gramaries marriages
aadgmnr, grandam grandma
aadgmnrs, grandams grandmas
adeginors, grandiose organdies organised
aeginrt, granite ingrate tangier tearing
aeegnrt, grantee greaten negater reagent
aegnrrt, granter regrant
aegnrrst, granters regrants stranger
agnrst, grants strang
agilnpr, graplin parling
aegilnpr, grapline pearling
aegilnprs, graplines relapsing spanglier
agilnprs, graplins sparling springal
agprs, grasp sprag
adegprs, grasped sparged
aegprrs, grasper sparger
aegprrss, graspers spargers
agginprs, grasping sparging
agprss, grasps sprags
aegrt, grate great targe terga
aegrst, grates greats stager targes
aginrt, gratin rating taring
aeglrsv, gravels verglas
aegirsv, gravies rivages
aegrsty, grayest gyrates
aggilnry, grayling ragingly
aeegrrs, greaser regears
aegrsy, greasy yagers
aeegrrt, greater regrate
aeegrv, greave regave
deegry, greedy greyed
deeegnr, greened reneged
eeegnrr, greener reneger
eegginnr, greening reneging
eeghinrs, greenish rehinges sheering
eeegrrt, greeter regreet
eeegrrst, greeters regreets
egilmnr, gremlin mingler
egilmnrs, gremlins minglers
eegimmrs, gremmies immerges
egry, grey gyre
egrsy, greys gyres
aeginrstv, grievants vintagers
eegirv, grieve regive
eegirsv, grieves regives
eggiinrv, grieving regiving
ffgiinr, griffin riffing
ddeginr, grinded redding
deginrr, grinder regrind
deginrrs, grinders regrinds
deginrry, grindery redrying
deginnr, grinned rending
gipr, grip prig
giprs, grips prigs sprig
eegirstt, grisette tergites
giiknrs, griskin risking
ginorss, grisons signors
ggiinnor, groining ignoring
ddegnoru, grounded underdog undergod
degnorru, grounder reground
egoprru, grouper regroup
egoprrsu, groupers regroups
egiopru, groupie pirogue
egioprsu, groupies pirogues
gortuy, grouty yogurt
egorrw, grower regrow
egorrsw, growers regrows
gnorw, grown wrong
gnopruw, grownup upgrown
deggru, grudge gurged rugged
deeglru, grueled reglued
eggilnru, grueling regluing
egmmrstu, grummest grummets
egmorsu, grumose morgues
degnrtu, grunted trudgen
egnrrstu, grunters restrung
gnrstu, grunts strung
eghirsu, grushie gushier
egnrttu, grutten turgent
aeginnsu, guanines sanguine
degnoru, guerdon undergo
degginnoru, guerdoning undergoing
egsstu, guests gusset
degisu, guides guised
degilrsu, guilders sludgier
glu, gul lug
aglru, gular rugal
deglnu, gulden lunged
egillsu, gullies ligules
glpu, gulp plug
eglprsu, gulpers splurge
glpsu, gulps plugs
glsu, guls lugs slug
gmu, gum mug
egimmstu, gummiest gummites
gmsu, gums mugs smug
efginrsu, gunfires refusing
eglnssu, gunless gunsels
eglnsu, gunsel lunges
ghinpsu, gunship pushing
ghnostu, gunshot hognuts noughts shotgun
ghnosstu, gunshots shotguns
ggginru, gurging rugging
egglru, gurgle lugger
egglrsu, gurgles luggers slugger
egglrstu, gurglets struggle
egnrtu, gurnet urgent
ghrsu, gursh shrug
eghrssu, gurshes gushers
ghsu, gush hugs sugh ughs
deghsu, gushed sughed
gghinsu, gushing sughing
gstu, gust guts tugs
egirstu, gustier gutsier
egissttu, gustiest gutsiest
gstuy, gusty gutsy
gtu, gut tug
eglsstu, gutless tugless
egirttu, guttier turgite
adegrty, gyrated tragedy
aginorsty, gyrations signatory
grsuy, gyrus surgy
abhsu, habus subah
acehklrs, hacklers shackler
acehkls, hackles shackle
achks, hacks shack
acddhkos, haddocks shaddock
adeh, hade haed head
adehjs, hadjes jehads
adhij, hadji jihad
adhijs, hadjis jadish jihads
aehms, haems hames shame
aeehrs, haeres hearse
aehs, haes shea
aehst, haets haste hates heats
afhst, hafts shaft
adghnos, hagdons sandhog
ahhs, hahs hash shah
ahil, hail hila
adehil, hailed halide
aehilrs, hailers shalier
aghiiln, hailing nilghai
aabdehhirrst, hairbreadths hairsbreadth
aehks, hakes shake
aehl, hale heal
aehlru, haleru hauler
aehls, hales heals leash selah shale sheal
aehlst, halest haslet lathes
aehilst, halites heliast
ahilstu, halitus thulias
ahllo, hallo holla
adehllo, halloed hollaed
aghillno, halloing hollaing
ahlloo, halloo holloa
adehlloo, hallooed holloaed
aghillnoo, hallooing holloaing
ahlloos, halloos holloas
ahllos, hallos hollas
aehllorsw, hallowers shallower
ahllosw, hallows shallow
ahlls, halls shall
ahlos, halos shoal
ahlt, halt lath
aehlrt, halter lather thaler
aeehlrt, haltere leather
adeehlrt, haltered lathered
aeehlrst, halteres leathers
aeghilnrt, haltering lathering
aehlrst, halters harslet lathers slather thalers
aghilnt, halting lathing
ahlst, halts laths shalt
aeehmmrr, hammerer rehammer
aeehmmrrs, hammerers rehammers
aehmmrs, hammers shammer
ahms, hams mash sham
adfhlnsu, handfuls handsful
adehlns, handles handsel
adehlnss, handless handsels
adffhno, handoff offhand
adhnostu, handouts thousand
aeghnr, hanger rehang
aeghnrs, hangers rehangs
aeghnorv, hangover overhang
aeghnorsv, hangovers overhangs
aehknr, hanker harken
aeehknrr, hankerer harkener
aeehknrrs, hankerers harkeners
aeghiknnr, hankering harkening
aehknrs, hankers harkens
ahnt, hant than
aehlnt, hantle thenal
ahnst, hants snath
ahp, hap pah
aehlpss, hapless plashes
adhilops, haploids shipload
ahlpy, haply phyla
ahps, haps hasp pash
aeehnpt, haptene heptane
aeehnpst, haptenes heptanes
achipt, haptic phatic
adeehnrr, hardener reharden
adeehnrrs, hardeners rehardens
adehirr, hardier harried
adhrs, hards shard
adhoprst, hardtops potshard
adhry, hardy hydra
aehr, hare hear rhea
adehr, hared heard
aeehmr, hareem hermae
aehmr, harem herma
aehmrs, harems masher
aehrs, hares hears rheas share shear
ahkrs, harks shark
achimnor, harmonic omniarch
aachimnors, harmonicas maraschino
achimnors, harmonics omniarchs
ahmrs, harms marsh
aehprrs, harpers sharper
aehiprs, harpies sharpie
aghinprs, harpings phrasing sharping
ahprs, harps sharp
aehhrsst, harshest thrashes
aehlrsst, harslets slathers
ahrt, hart rath tahr
ahrst, harts tahrs trash
aehrstv, harvest thraves
aehlsst, haslets hatless
adehps, hasped pashed phased shaped
aghinps, hasping pashing phasing shaping
aehlss, hassel hassle lashes selahs shales sheals
adehlss, hassled slashed
aghilnss, hassling lashings slashing
achkoss, hassock shackos
ahst, hast hats shat
aehnst, hasten snathe thanes
aeehnrst, hastener heartens
aeghinnst, hastening naethings
aehnsst, hastens snathes
aceehhirst, hatcheries thearchies
acehhrty, hatchery thearchy
acehhstt, hatchets thatches
aabeehlt, hateable heatable
afhlstu, hatfuls hatsful
aehrtt, hatter threat
aehrstt, hatters shatter threats
aghhsu, haughs shaugh
ahlu, haul hula
aghilnu, hauling nilghau
ahlsu, hauls hulas shaul
ahntu, haunt unhat
aehnrtu, haunter unearth urethan
aehnrstu, haunters unearths urethans
ahnstu, haunts unhats
aehnsv, havens shaven
aehrsv, havers shaver
aehsv, haves shave
ahw, haw wha
aehiksw, hawkies weakish
ahsw, haws shaw wash
aehrsw, hawser rewash washer
aehrssw, hawsers swasher washers
aehssw, hawses washes
ahy, hay yah
adehy, hayed heady
adehiry, hayride hydriae
adeghlno, headlong longhead
adeehnost, headnotes headstone
adehinp, headpin pinhead
aeehrr, hearer rehear
aeehrrs, hearers rehears shearer
aeghinrs, hearings hearsing shearing
aeehhrst, heathers sheather
aehhst, heaths sheath
aeehsv, heaves sheave
cehort, hector rochet rotche tocher troche
cdeehort, hectored tochered
ceghinort, hectoring tochering
cehorst, hectors rochets rotches tochers torches troches
dehimnos, hedonism monished
deeehrs, heeders heredes sheered
deeghin, heeding neighed
eeehlr, heeler reheel
eeehlrs, heelers reheels
